part_number,alternate_pn,boeing_spec,description,manufacturer,ata
1268,,,MOTOR,,
1298,,,MOTOR,,
2573,,,ENDBELL-BOTTOM,,
2594,,,SHAFT-OVERRIDE,,
2607,,,VARIABLE STATOR VANE ACTUATOR,,
2779,,,GEAR-OUTPUT,,
4482,,,HANDLE-OVERRIDE,,
6271,,,HYDRAULIC FUSE, VOLUMETRIC,
20127,,,PAD, HANGER TRUNNION,
22622,,,IMPELLER,,
23533,,,MOTOR,,
23536,,,HOUSING, SUBASSEMBLY,
23542,,,SLEEVE, INDUCER,
23543,,,COUPLING, INDUCER,
23547,,,CILINDER BARREL,,
23549,,,HANGER AND PISTON SUBASSEMBLY,,
23550,,,HANGER,,
23551,,,TUBE, TRANSFER,
23553,,,NUT, RETAINING PLATE,
23555,,,RETAINER, PLATE AND WASHER,
23609,,,SLEEVE, RATE PISTON,
23611,,,PORT PLATE SUBASSEMBLY,,
23662,,,PISTON AND SHOE SUBASSEMBLY,,
23679,,,INDUCER SUBASSEMBLY,,
23686,,,PIVOT, COMPENSATOR,
23692,,,PLUG, COMPENSATOR,
23704,,,SLEEVE STOKING PISTON,,
24361,,,PIN, STRAIGHT HEADLESS,
24405,,,PISTON, DASHPOT,
24406,,,CUP, DASHPOT,
24542,,,BUSHING SPLINE,,
24544,,,SHAFT, INTERNAL DRIVE,
24558,,,SLEEVE, OUTER,
24599,,,PORT CAP SUBASSY,,
24668,,,PISTON, DASHPOT,
24693,,,MOTOR,,
24844,,,MOTOR,,
25038,,,MOTOR,,
25323,,,FUEL PUMP,,
26030,,,FLOW DIVIDER & DUMP VALVE,,
30079,,,ROTOR AND SHAFT,,
30346,,,RING,,
30352,,,PIN,,
30373,,,GEROTOR SET,,
30490,,,ACTUATOR ASSEMBLY,,
30509,,,BEARING NEEDLE,,
30910,,,MOTOR,,
31075,,,SERVOCONTROL ELEVATOR, ASSY,
32980,,,MOTOR,,
40109,,,PUMP-HYDRAULIC,,
40157,,,PUMP AND MOTOR ASSY,,
40180,,,PUMP MOTOR DRIVEN HYDRAULIC,,
40574,,,ACTUATOR,,
41563,,,SCREW ADJUSTING,,
41601,,,ADAPTER,,
42049,,,MOTOR, HYDRAULIC,
42053,,,ELECTRIC MOTOR DRIVEN HYD. PUMP,,
43661,,,PORT CAP,,
46012,,,MOTOR, HYDRAULIC,
47145,,,TRIMMABLE HORIZONTAL STABILIZER ACTUATOR,,
50160,,,VALVE,,
51164,,,VARIABLE DELIVERY HYDRAULIC PUMP ASSEMBLY,,
51166,,,PUMP MOTOR,,
51172,,,HYDRAULIC PUMP,,
55035,,,HYDRAULIC PUMP,,
55076,,,HYDRAULIC PUMP,,
55097,,,HYDRAULIC PUMP,,
55098,,,HYDRAULIC PUMP,,
55107,,,HYDRAULIC PUMP,,
56193,,,HYDRAULIC PUMP ASSEMBLY,,
57155,,,PUMP MOTOR DRIVEN HYDRAULIC,,
57186,,,PUMP MOTOR DRIVEN HYDRAULIC,,
58120,,,ACTUATOR-DOOR UNLOCK,,
58137,,,HYDRAULIC PUMP,,
59727,,,WASHER FLAT,,
59802,,,BAFFLE,,
61163,,,FUEL SHUTOFF VALVE,,
61165,,,PORT ADAPTER ASSEMBLY,,
61190,,,PORT ADAPTER ASSY.,,
61251,,,GATE AND ACTUATOR ASSEMBLY,,
61384,,,PORT CAB S/B,,
62008,,,RET. SPRING,,
62176,,,LIQUID COOLED MOTOR,,
62461,,,LIQUID COOLED MOTOR,,
62735,,,MOTOR,,
63054,,,HYDRAULIC PUMP,,
63169,,,HYDRAULIC TRANSFER UNIT,,
65001,,,HYDRAULIC PUMP,,
65053,,,HYDRAULIC PUMP,,
65075,,,HYDRAULIC PUMP,,
65609,,,MOUNTING FLANGE SUBASSEMBLY,,
65853,,,WASHER CUP,,
66039,,,VARIABLE DISPLACEMENT HYDRAULIC PUMP,,
66068,,,PUMP MOTOR DRIVEN HYDRAULIC,,
66087,,,HYDRAULIC PUMP,,
66157,,,HYDRAULIC PUMP,,
66180,,,HYDRAULIC PUMP,,
69760,,,PORT, CASE DRAIN,
70269,,,MODULE,,
70703,,,RET. PISTON,,
70706,,,PLUG,,
71234,,,HYDRAULIC HAND PUMP,,
71784,,,HYDRAULIC SYSTEM TRANSFER VALVE MODULE,,
73600,,,CHECK VALVE,,
75327,,,SOLENOID VALVE,,
79091,,,PIN UNIVERSAL,,
95027,,,VALVE,,
103482,,,LOCK-COUPLING SHAFT,,
139525,,,POPPET RELIEF VALVE,,
148065,,,MOTOR VALVE,,
148485,,,TANK,,
151050,,,SWITCH CAM,,
151060,,,SWICTH ACTUATOR ARM,,
151262,,,SHAFT RELEASE,,
152532,,,CLUTCH,,
176222,,,PLATE INTRUCTION,,
188911,,,MOTOR HYDRAULIC,,
218387,,,APU FUEL BOOST PUMP,,
218391,,,CANISTER,,
224685,,,VALVE, PRESSURE RELIEF,
227565,,,VALVE, PRESSURE RELIEF,
228143,,,APU BOOSTER PUMP,,
229065,,,FUEL PUMP,,
229066,,,CANISTER FWD,,
229432,,,PUMP, ELECTRICAL - DRIVEN,
229945,,,FUEL BOOSTER PUMP,,
234125,,,VALVE, POPPET RELIEF,
243600,,,MAIN GEAR PUMP,,
268737,,,HYDRAULIC MOTOR PUMP,,
279952,,,HYDRAULIC MOTOR PUMP,,
283554,,,HYDRAULIC PUMP,,
286467,,,SERVO VALVE,,
298113,,,POWER TRANSFER HYDRAULIC PUMP,,
314195,,,VARIABLE DISPLACEMENT HYDRAULIC PUMP,,
320598,,,HYDRAULIC PUMP ASSY,,
322587,,,RING SET,,
322931,,,PACKING,,
323397,,,INSERT CLAMP,,
323622,,,BEARING,,
323636,,,HYDRAULIC MOTOR PUMP,,
342211,,,SEAT-PRESSURE CONTROL,,
342241,,,TAB ASSY RUDDER,,
342279,,,DOOR EMERGENCY-FWD,,
342281,,,DOOR-EMERGENCY-AFT,,
342381,,,HYDRAULIC MOTOR,,
350880,,,HYDRAULIC PUMP,,
358200,,,MAIN GEAR FUEL PUMP,,
361108,,,ELECTRIC MOTOR SUBASSEMBLY,,
371380,,,HYDRAULIC PUMP,,
371900,,,MAIN GEAR FUEL PUMP,,
378000,,,PUMP MOTOR DRIVEN HYDRAULIC,,
378001,,,HYDRAULIC MOTOR PUMP,,
378200,,,MAIN GEAR PUMP,,
386900,,,MAIN ENGINE FUEL PUMP JT9D,,
390017,,,HYDRAULIC MOTOR,,
390600,,,MAIN FUEL GEAR PUMP,,
394357,,,SOLENOID,,
396362,,,HYDRAULIC MOTOR,,
396800,,,BLEED VALVE FUEL GEAR MOTOR,,
398000,,,FUEL BOOSTER PUMP,,
399300,,,SINGLE PUMP VOLUTE HOUSING,,
399500,,,DOUBLE PUMP VOLUTE HOUSING,,
404250,,,HYDRAULIC PUMP,,
405893,,,PUMP MOTOR DRIVEN HYDRAULIC,,
405894,,,HYDRAULIC MOTOR,,
414470,,,PUMP MOTOR DRIVEN HYDRAULIC,,
418575,,,HYDRAULIC MOTOR,,
420609,,,MOTOR PUMP,,
422078,,,BRAKE UNIT, PRESSURE-OFF,
422081,,,TRANSDUCER UNIT, POSITION,
430110,,,STATOR ALTERNATOR,,
453627,,,HYDRAULIC PUMP,,
518150,,,PUMP MOTOR DRIVEN HYDRAULIC,,
518157,,,PUMP MOTOR,,
518203,,,PUMP SUBASSEMBLY,,
518646,,,HYDRAULIC PUMP,,
520550,,,HYDRAULIC PUMP,,
520567,,,ASSEMBLY, CONSTANT SPEED MOTOR/ GENERATOR,
520568,,,ASSEMBLY, CONSTANT SPEED MOTOR/ GENERATOR,
520805,,,PUMP MOTOR DRIVEN HYDRAULIC,,
520831,,,AC DRVING MOTORPUMP ASSEMBLY,,
520912,,,ASSEMBLY, CONSTANT SPEED MOTOR/ GENERATOR,
521449,,,HYDRAULIC PUMP,,
525374,,,DOOR ACTUATOR,,
569664,,,VALVE-POPPET,,
569672,,,MOTOR ASSEMBLY/MF1-152-9,,
570347,,,PUMP ASSEMBLY, AXIAL PISTON VARIABLE DISPLACEMENT,
571191,,,HYDRAULIC PUMP,,
571733,,,CAP-BAYPASS VALVE,,
571736,,,VALVE POPPET,,
571849,,,FILTER DISC,,
571850,,,PLATE-ORIFICE,,
571851,,,WASHER,,
591744,,,SNAP RING,,
622199,,,PUMP MOTOR DRIVEN HYDRAULIC,,
622200,,,PISTON-BYPASS VALVE,,
622201,,,SLEEVE BYPASS VALVE,,
622202,,,SLEEVE POPPET GUIDE,,
622210,,,SEAT-OUTER RETURN SPRING,,
622227,,,GUIDE, PRESSURE CONTROL,
622362,,,MOTOR PUMP ASSEMBLY- POWER TRANSFER,,
622532,,,MOTOR PUMP ASSEMBLY- POWER TRANSFER,,
623272,,,PUMP,,
623303,,,HYDRAULIC PUMP,,
623337,,,HYDRAULIC PUMP,,
623977,,,HYDRAULIC PUMP,,
624216,,,PUMP MOTOR DRIVEN HYDRAULIC,,
624328,,,SPOOL PILOT VALCE,,
624372,,,PUMP MOTOR DRIVEN HYDRAULIC,,
630300,,,ACTUATOR,,
693335,,,PUMP MOTOR DRIVEN HYDRAULIC,,
693830,,,PUMP ASSEMBLY,,
701300,,,PRESSURE REFUEL ADAPTER VALVE,,
702200,,,DOUBLE PUMP VOLUTE HOUSING,,
702300,,,DOUBLE PUMP VOLUTE HOUSING,,
705501,,,FUEL PUMP,,
706400,,,BLEED VALVE FUEL GEAR MOTOR,,
713442,,,PRESSURE SWITCH ASSEMBLY,,
715200,,,MAIN FUEL PUMP,,
715776,,,PUMP MOTOR DRIVEN HYDRAULIC,,
716958,,,HYDRAULIC PUMP,,
716988,,,HYDRAULIC PUMP,,
717091,,,HYDRAULIC PUMP,,
717378,,,INTEGRATED DRIVE GENERATOR,,
725145,,,ELEMENT ASSY.,,
725175,,,COUPLING, REFUEL ASSEMBLY,
725185,,,REFUELING ADAPTER,,
727510,,,FUEL CAP,,
727540,,,FUEL CAP,,
727792,,,INTEGRATED DRIVE GENERATOR,,
728471,,,CONSTANT SPEED DRIVE,,
728901,,,CARRIER SHAFT,,
729509,,,GOVERNOR AND SUPPORT,,
729722,,,AUXILIARY GENERATOR,HAMILTON ,24
730844,,,QAD ADAPTER,,
731517,,,DRIVE SHAFT & INSERT SUBASSY,,
731633,,,HYDRAULIC PUMP ASSY,,
731700,,,DUAL CONTROL VALVE,,
731966,,,HYDRAULIC PUMP,,
735874,,,IDG,,
736664,,,INTEGRATED DRIVE GENERATOR,,
736675,,,INTEGRATED DRIVE GENERATOR,,
739515,,60B40161-1,INTEGRATED DRIVE GENERATOR ,HAMILTON,24
739515,,,INTEGRATED DRIVE GENERATOR,,
740119,,,IDG,,
744041,,,INTERGRATED DRIVE GENERATOR,,
745329,,60B40161-5,INTEGRATED DRIVE GENERATOR ,HAMILTON,24
746927,,,QUICK ATTACH-DETACH ADAPTER,,
747101,,,HOUSING AND SUPPORT,,
747194,,60B40161-11,INTEGRATED DRIVE GENERATOR ,HAMILTON,24
747740,,,STATOR HOUSING,,
747743,,,PUMP AND MOTOR,,
747744,,,PUMP AND MOTOR,,
747750,,,SCAVENGE PUMP,,
747763,,,PRESSURE SWITCH ASSEMBLY,,
747765,,,ELECTRICAL HARNESS,,
747767,,,GOVERNOR AND SUPPORT,,
750860,,,INTEGRATED DRIVE GENERATOR,,
750875,,,INTEGRATED DRIVE GENERATOR,,
751202,,,ELECTRICAL HARNESS,,
752157,,,INTEGRATED DRIVE GENERATOR ,HAMILTON,24
752168,,,IDG,,
755017,,,INTEGRATED DRIVE GENERATOR ,HAMILTON,24
755359,,60B40161-20,INTEGRATED DRIVE GENERATOR ,HAMILTON,24
